Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
2300.0,4,4.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,24500000,Ready_to_move,New_Property,Builder_Floor
1150.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,10000000,Ready_to_move,New_Property,Builder_Floor
800.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Ready_to_move,New_Property,Builder_Floor
850.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,7000000,Ready_to_move,New_Property,Builder_Floor
720.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,6500000,Ready_to_move,New_Property,Builder_Floor
4688.0,5,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",1.0,135000000,Almost_ready,New_Property,Apartment
3901.0,4,4.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",1.0,93000000,Almost_ready,New_Property,Apartment
950.0,3,2.0,Furnished,"Uttam Nagar Floors, Uttam Nagar",1.0,4370000,Ready_to_move,New_Property,Apartment
1000.0,3,2.0,Unfurnished,"Virat Residency, Dwarka Mor",1.0,4620000,Ready_to_move,New_Property,Apartment
850.0,2,1.0,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",1.0,1900000,Ready_to_move,New_Property,Apartment
2400.0,4,4.0,Semi-Furnished,"Find Homes, Greater Kailash 2",1.0,70000000,Ready_to_move,New_Property,Apartment
540.0,2,2.0,Semi-Furnished,"Adarsh Homes, Dwarka Mor",1.0,3000000,Ready_to_move,New_Property,Apartment
540.0,2,2.0,Semi-Furnished,"Kushwaha Homes, Uttam Nagar",1.0,3300000,Ready_to_move,New_Property,Apartment
976.0,2,2.0,Furnished,"Godrej South Estate, Okhla",1.0,24900000,Ready_to_move,New_Property,Apartment
2700.0,4,3.0,Semi-Furnished,"APL Builder Floor, Greater Kailash 1",1.0,60000000,Ready_to_move,New_Property,Builder_Floor
2900.0,5,5.0,Furnished,Janakpuri Block A3,1.0,51000000,Almost_ready,New_Property,Builder_Floor
5025.0,5,6.0,Unfurnished,Greater Kailash 2,4.0,170000000,Almost_ready,New_Property,Builder_Floor
1000.0,3,2.0,Semi-Furnished,"Partap Homes, Bhagwati Vihar, Uttam Nagar",1.0,5510000,Almost_ready,New_Property,Builder_Floor
1135.0,3,3.0,Furnished,"The Amaryllis, Karol Bagh",2.0,25000000,Almost_ready,Resale,Apartment
2306.0,3,3.0,Unfurnished,"The Leela Sky Villas, Patel Nagar",1.0,57000000,Almost_ready,New_Property,Apartment
850.0,2,2.0,Semi-Furnished,"Diamond Heights Multi Estate, Najafgarh",1.0,2940000,Almost_ready,New_Property,Apartment
1800.0,4,3.0,Semi-Furnished,"Vasant Vihar Builder Floor, Vasant Vihar",2.0,55000000,Ready_to_move,Resale,Builder_Floor
1100.0,2,2.0,Semi-Furnished,Vasant Kunj,1.0,15000000,Ready_to_move,Resale,Apartment
22050.0,4,4.0,Semi-Furnished,Greater Kailash 1,2.0,51000000,Almost_ready,New_Property,Builder_Floor
1550.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,13000000,Ready_to_move,New_Property,Builder_Floor
1600.0,3,3.0,Semi-Furnished,Greater Kailash 1,1.0,30000000,Ready_to_move,New_Property,Builder_Floor
700.0,2,2.0,Semi-Furnished,"Khanpur, Madangir",1.0,2400000,Ready_to_move,New_Property,Builder_Floor
45.0,4,3.0,Unfurnished,"Batla House, Okhla",1.0,5500000,Ready_to_move,New_Property,Builder_Floor
3510.0,4,4.0,Semi-Furnished,"Friends Colony West, New Friends Colony",2.0,45000000,Ready_to_move,Resale,Builder_Floor
4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,60000000,Ready_to_move,New_Property,Builder_Floor
1800.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,65000000,Ready_to_move,New_Property,Builder_Floor
6000.0,5,5.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",1.0,220000000,Ready_to_move,New_Property,Builder_Floor
4300.0,4,4.0,Unfurnished,New Friends Colony,2.0,60000000,Ready_to_move,Resale,Builder_Floor
1700.0,3,3.0,Semi-Furnished,"Friends Colony East, New Friends Colony",2.0,38500000,Ready_to_move,New_Property,Builder_Floor
2500.0,3,3.0,Semi-Furnished,"Maharani Bagh, New Friends Colony",2.0,50000000,Ready_to_move,Resale,Apartment
4500.0,4,4.0,Semi-Furnished,New Friends Colony,2.0,75000000,Ready_to_move,New_Property,Builder_Floor
